"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description_1","MP"
"A_Button1,B_Button1,DOWN1,LEFT1,MENU1,RIGHT1,SELECT_Button1,START_Button1,SW1,SW2,UP1,X_Button1,Y_Button1","13","PTS810 (250gf)","","","","PTS810_SJM_250_SMTR_LFS:SW_PTS810_SJM_250_SMTR_LFS","","Tactile Switch, SPST-NO, Top Actuated, Surface Mount (SMT), 2.5mm height, 0.15mm travel. Local equivalent OK, but must match footprint dimensions, SMT pad style, 160gf to 260gf of activiation force","PTS810_SJM_250_SMTR_LFS"
"C1,C3,C5,C8,C14,C15,C17,C19","8","10uF","","","","CL31A106MBHNNNE:CAPC3216X180N","","10uF, 16V or higher, X7R, 1206",""
"C2,C9,C10,C11,C12,C13,C16,C23,C24,C29","10","10nF","","","","GRM1885C1H103JA01D:CAPC1608X90N","","10nF, 16V or higher, X7R, 0805",""
"C4,C7,C20","3","100nF","","","","CL10B104KB8NNNC:CAPC1608X90N","","100nF, 16V or higher, X7R, 0805",""
"C6","1","0.47uF","","","","CL10B474KA8NFNC:CAPC1608X90N","","0.47uF, 16V or higher, X7R, 0805",""
"C18","1","0.047uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","0.047uF, 16V or higher, X7R, 0805",""
"C21,C22","2","4.7uF","","","","CL31B475KAHNNNE:CAPC3216X180N","","4.7uF, 16V or higher, X7R, 1206",""
"C25,C26","2","47uF","","","","C3216X5R1E476M160AC:CAPC3216X180N","","47uF, 16V or higher, X5R, 1206",""
"C27","1","1000pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","1000pF, 16V or higher, C0G, 0805",""
"C28","1","47pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","47pF, 16v or higher, C0G, 0805",""
"D1","1","MBR0520LT1G","","","","MBR0520LT1G:SOD3716X135N","","Local Equivalent OK. Diode Schottky 20 V 500mA Surface Mount SOD-123","MBR0520LT1G"
"D2","1","B340A","","","","B340AE-13:DIOM5226X230N","","Local Equivalent OK. Must be SMA package. ","B340AE-13"
"IHLP1616BZER4R7M11","1","4.7uH","","","","ul_IHLP1616BZER4R7M11:IND_IHLP-1616BZ_VIS","","Local Equivalent OK, 4.7uH, 20% tolerance or higher, 1.75 lsat, shielded","IHLP1616BZER4R7M11"
"J1","1","62684-401100ALF","","","","62684-401100ALF:CONN_62684-401100ALF_AMP","62684-401100ALF","Local Equivalent OK, bottom contacts, 40 position, 0.50mm pitch","62684-401100ALF"
"J2","1","USB4216-03-A_REVA","","","","USB4216-03-A_REVA:GCT_USB4216-03-A_REVA","","Type C USB 2.0 Connector","USB4216-03-A"
"L2","1","WE-MAPI_2512","","","","WE-MAPI_4020:WE-MAPI_4020","","WE-MAPI SMD Power Inductor 1.5uH 2.2A | Wurth Electronics 74438324015, local equivilent OK as long as electrical aspects and footprints are exactly the same","74438324015"
"L3","1","6.8uH","","","","LIB_BMRA000606306R8MA1:INDPM7366X300N","","Shielded Molded Power Inductor, 6.8uH, ±20%, 4.5A Irms, 8.0A Isat, 60mOhm max DCR, SMD, 7.3mm x 6.6mm x 3.0mm. Local equivalent OK if all electrical and footprint dimensions match exactly.","BMRA000606306R8MA1"
"L_Button1,R_Button1,SW3,VOLDWN1,VOLUP1","5","SW_Push","","","","TL3330AF130QG:SW_TL3330AF130QG","","Local Equivilent OK, 0.25mm switch travel, Right angle mount, SPST-NO, Gull Wing Leads, 130gf operating force",""
"R1,R4,R5,R7,R8,R9,R10,R11,R12,R14,R17,R18,R19,R20,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R43,R44,R45,R46,R47","31","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","10k, 5% or tighter, 1/8W or higher, 0805",""
"R2,R3","2","EXB-2HV330JV","","","","EXB-2HV330JV:RESCAXE50P380X160X55-16N","EXB-2HV330JV","Thick Film Resistor Array, 33 Ohm, ±5%, 8 Resistors (Isolated Circuit), 16-Pins, Convex Long Side Terminals, 62.5mW per element, 1506 package (3.80mm x 1.60mm). Local equivalent OK but must match footprint, pitch, and isolated circuit structure exactly.","EXB-2HV330JV"
"R6","1","1.43","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","1.43, 1% or tighter, 1/8W or higher, 0805",""
"R13","1","634k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","634k, 1% or tighter, 1/8W or higher, 0805",""
"R15,R16","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","5.1k, 5% or tighter, 1/8W or higher, 0805",""
"R21","1","240","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","240, 1% or tighter, 1/8W or higher, 0805",""
"R22","1","5.21K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","5.21k, 1% or tighter, 1/8W or higher, 0805",""
"R23","1","29.87k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","29.87k, 1% or tighter, 1/8W or higher, 0805",""
"R24","1","165k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","165k, 5% or tighter, 1/8W or higher, 0805",""
"R25","1","60.4k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","60.4k, 5% or tighter, 1/8W or higher, 0805",""
"R26","1","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor, 0 Ohm Jumper, 2A minimum current rating, 0805",""
"R27","1","10.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","10.2k, 1% or tighter, 1/8W or higher, 0805",""
"R28","1","3.24k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","3.24k, 1% or tighter, 1/8W or higher, 0805",""
"R29","1","29.4k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","29.4k, 1% or tighter, 1/8W or higher, 0805",""
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","Wi-Fi + BT 5.0 Module, ESP32-S3 chip, 16MB Quad SPI Flash, 8MB Octal SPI PSRAM, PCB Antenna. Must be exact MPN, no substitutions.","ESP32-S3-WROOM-1-N16R8"
"U2","1","BQ25895RTWR","","","","BQ25895RTWR:QFN50P400X400X80-25N","","I2C 1cell 5A buck battery charger with high input voltage and 3.1-A boost with HVDCP enabled","BQ25895RTWR"
"U3","1","MP3302DJ-LF-Z","","","","MP3302DJ-LF-Z:TSOT23-5_3x3x1p7_MNP","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP3302","Step-Up Boost Converter, LED Backlight Driver, 200mV Feedback Reference Voltage, 1.33A Switch Current Limit, TSOT-23-5. Local Equivalent OK but must match pinning and 200mV FB reference voltage exactly.","MP3302DJ-LF-Z"
"U4","1","TCA6424ARGJR","","","","TCA6424ARGJR:QFN50P500X500X60-33N","","24-bit translating 1.65- to 5.5-V I2C/SMBus I/O expander with interrupt, reset & config registers","TCA6424ARGJR"
"U5","1","MAX98357AETE_T","","","","MAX98357AETE_T:QFN50P300X300X80-17N","","Tiny, Low-Cost, PCM Class D Amplifier with Class AB Performance","MAX98357AETE+T"
"U7","1","TPS54331DR","","","","TPS54331DR:SOIC127P599X175-8N","","3.5V to 28V Input, 3A, 570kHz Step-Down Converter with Eco-mode","TPS54331DR"
"J3","1","NTCLE413E2103F520L","DNP","","Excluded from board","S2B-PH-K-S_LF__SN_:JST_S2B-PH-K-S_LF__SN_","","",""
"J4","1","S2B-PH-K-S_LF__SN_","DNP","","Excluded from board","S2B-PH-K-S_LF__SN_:JST_S2B-PH-K-S_LF__SN_","","Connector Header Through Hole, Right Angle 2 position 0.079 (2.00mm)","S2B-PH-K-S (LF)(SN)"
"J5","1","S2B-XH-A_LF__SN_","DNP","","Excluded from board","S2B-XH-A_LF__SN_:JST_S2B-XH-A_LF__SN_","","Connector Header Through Hole, Right Angle 2 position 0.098 (2.50mm)","S2B-XH-A (LF)(SN)"
"SDREADER1","1","Conn_01x07_Pin","DNP","","Excluded from board","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","","",""
